StyleCode,품명,진행구분,작지등록,생산처,원단처,소재명,원산지
JWJGS27001,히어로 남성 고어텍스 3L PRO 재킷,Main 진행,O,포마트,김난이,bnrSPL80GC/RGD-PX3LPRO,CHINA
JWJJS27011,히어로 남성 프리마로프트골드 헤비 인슐레이션 재킷 3온스 방풍,Main 진행,O,원전,김난이,YO201293(NY10D) / ZX-20M SC,CHINA
JWJJS27015,히어로 남성 프리마로프트골드 라이트 인슐레이션 재킷1.2온스,Main 진행,O,원전,김난이,KGT-YL1609-B / ST0452TSPDWR-NF / YO201293(NY10D),CHINA/JAPAN/KOREA
JWJJS27021,히어로 남성 스톰플리스 프로 LIGHT 소프트쉘 재킷,Main 진행,O,원전,김난이,SINGTEX) SW-70213CO,TAIWAN
JWJJS27031,히어로 남성 옥타 플리스 재킷(OCTA) 생지 발주 완료 2000M (납기 10개월) 12월10일  B/T 2/5 반출,Main 진행,X,태화,김난이,E3MC01,JAPAN
JWPNX27091,히어로 남녀공용 고어3L PRO 오버트라우저,Drop,O,포마트,김난이,EDAMAME / bnrSPL80GC/RGD-PX3LPRO,CHINA/SPAIN
JWTBS27057,히어로 남성 니트도트 긴팔 라운드티,Main 진행,O,태화,김난이,GIK-H350,KOREA
JWTBX27053,히어로 남성 메리노울 긴팔 라운드티,Drop,O,장안,김난이,N1001W,중국
JWTCS27055,히어로 남성 메리노울 반팔 라운드티,Main 진행,O,장안,김난이,N1001W,중국
JWTCX27055,히어로 남성 메리노울 반팔 라운드티,Drop,O,장안,김난이,GM1599,THAILAND
JWVAS27017,히어로 남성 프리마로프트 라이트 인슐레이션 베스트,Main 진행,O,원전,김난이,ST0452TSPDWR-NF / YO201293(NY10D),CHINA/JAPAN
