기획MD,StyleCode,품명,시즌코드,컬러수,생산형태,생산처,원산국,전산입고계획일,작지일매,예상출고일(주차)
신인철,8GJJS27101,WM 남성 아웃포켓 피싱 재킷,S,2,사입,와이아이씨,베트남,2027-01-05,O,
신인철,8GPFM27101,WM 남성 익스퍼트 레깅스,M,1,사입,주식회사 아이케이지,베트남,2027-01-05,O,
신인철,8GPNS27101,WM 남성 유틸리티 피싱 카고 팬츠,S,2,사입,와이아이씨,베트남,2027-01-05,O,
신인철,8GPOM27103,WM 남성 라이트 립스탑 숏츠,M,2,사입,티비오콜렉션,베트남,2027-01-05,O,
신인철,8HJJM27102,WM 여성 메쉬 크롭 재킷,M,2,사입,원전교역,베트남,2027-01-05,O,
신인철,8HJJS27102,WM 여성 아웃포켓 피싱 재킷,S,2,사입,와이아이씨,베트남,2027-01-05,X,
신인철,8HPNS27102,WM 여성 유틸리티 피싱 카고 팬츠,S,2,사입,와이아이씨,베트남,2027-01-05,X,
신인철,8HPOM27102,WM 여성 라이트 립스탑 숏츠,M,2,사입,티비오콜렉션,베트남,2027-01-05,X,
신인철,8HTCM27102,WM 여성 프린트 반팔티,M,3,사입,주연에프앤씨,국내,2027-01-05,O,
신인철,8NAAM27101,WM 남녀공용 쿨 멀티 스카프,M,1,사입,아이앤지,베트남,2027-01-05,X,
신인철,8NAAX27101,WM 남녀공용 X-PAC 피싱 타올,X,1,사입,인투잇플러스,베트남,2027-01-05,X,
신인철,8NBDX27101,WM 익스퍼트 X-PAC 슬링백,X,1,사입,인투잇플러스,베트남,2027-01-05,X,
신인철,8NBDX27103,WM 익스퍼트 X-PAC 크로스백,X,1,사입,인투잇플러스,베트남,2027-01-05,X,
신인철,8NHAM27102,WM 남녀공용 3지 라이트 익스퍼트 장갑,M,1,사입,시즈 글로벌,베트남,2027-01-05,X,
신인철,8NHAS27101,WM 남녀공용 3지 익스퍼트 장갑,S,1,사입,시즈 글로벌,베트남,2027-01-05,X,
신인철,8NHEM27101,WM 남녀공용 UV 피싱 암슬리브,M,2,사입,시즈 글로벌,베트남,2027-01-05,X,
신인철,8NLAS27101,WM 남녀공용 프린트 양말,S,3,사입,건우 통상,국내,2027-01-05,X,
신인철,8NREM27102,WM 남녀공용 유틸리티 메쉬 캡,M,3,사입,캐비야모자,국내,2027-01-05,X,
신인철,8NREM27105,WM 남녀공용 라이트 쉘 캡,M,2,사입,주식회사 피앤지아이엔씨,베트남,2027-01-15,X,
