품번(26SS),출고일/입고일,출처
8GPNS26101,2026-01-13,26SS 최초입고일(전산)
8HPNS26102,2026-01-07,26SS 최초입고일(전산)
8HTCS26102,2026-01-13,26SS 최초입고일(전산)
8NLAS26101,2026-01-13,26SS 최초입고일(전산)
8NREM26104,2026-01-13,26SS 최초입고일(전산)
8UJJS26105,2026-01-16,26SS 최초입고일(전산)
8UPNS26103,2026-01-13,26SS 최초입고일(전산)
8UTBM26201,2026-01-14,26SS 최초입고일(전산)
JKJJS26152,2026-01-14,26SS 최초입고일(전산)
JKPNS26402,2026-01-15,26SS 최초입고일(전산)
JKTBS26102,2026-01-09,26SS 최초입고일(전산)
JKTBS26112,2026-01-09,26SS 최초입고일(전산)
JWJJS26141,2월1주,MIX AT열(출고일)
JWJJS26151,1월3주,MIX AT열(출고일)
JWJJS26401,2월1주,MIX AT열(출고일)
JWPNM26221,2026-01-07,26SS 최초입고일(전산)
JWPNS26401,2026-01-15,26SS 최초입고일(전산)
JWTCM26251,2026-01-15,26SS 최초입고일(전산)
JWTCM26321,2026-01-15,26SS 최초입고일(전산)
TLJJM26551,2026-01-13,26SS 최초입고일(전산)
TLJJM26553,2026-01-13,26SS 최초입고일(전산)
TLJJS26401,1월3주,MIX AT열(출고일)
TLPNS26411,2026-01-06,26SS 최초입고일(전산)
TLPNS26431,2026-01-16,26SS 최초입고일(전산)
TLTBS26411,2026-01-15,26SS 최초입고일(전산)
TLTBS26441,2026-01-02,26SS 최초입고일(전산)
TLTCM26521,2026-01-12,26SS 최초입고일(전산)
TLTCM26601,2026-01-15,26SS 최초입고일(전산)
TLTCM26603,2026-01-15,26SS 최초입고일(전산)
TLVAS26403,2026-01-08,26SS 최초입고일(전산)
TVJJS26402,2026-01-02,26SS 최초입고일(전산)
TVJJS26422,2026-01-14,26SS 최초입고일(전산)
TVPNS26412,2026-01-06,26SS 최초입고일(전산)
TVPNS26432,2026-01-06,26SS 최초입고일(전산)
TVPNS26452,2026-01-06,26SS 최초입고일(전산)
