MD,DS,StyleCode,품명,시즌코드,컬러수,기획수량,생산형태,생산처,원산지,출고차순,출고일(주차),작지발행,납기1차(참고),컬러구성,사양확정,비수기,원가합,소매가합,원단처,겉감정보,안감정보,생산처_소재DB
신인철,안세진,8UJGX27101,[WM] 남녀공용 익스퍼트 스톰 3L 고어 재킷,X,1,0,완사입,기도,베트남,1차,1월3주,O,,BLK(BLACK),O,,34016700,99000000,GORE,GORE) bnSRP40AL/RGD-PX 3L,,기도
신인철,안세진,8UPNX27101,[WM] 남녀공용 익스퍼트 스톰 3L 고어 팬츠,X,1,0,완사입,기도,베트남,1차,1월3주,O,,BLK(BLACK),X,,14295580,44850000,GORE,GORE) bnSRP40AL/RGD-PX 3L,,기도
신인철,장지은,8UJJX27102,[WM] 남녀공용 프리마로프트 미드레이어 재킷,X,2,0,완사입,원전,베트남,1차,1월3주,O,,"DLM, BLK(BLACK)",X,,34084400,109200000,PERTEX / 라임,PERTEX) PS2270WNSA-NFC,,원전
신인철,안세진,8UJJX27101,[WM] 남녀공용 스톰 에센셜 3L 재킷,X,3,0,완사입,기도,베트남,1차,1월3주,O,,"LGY(L/GRAY), KHA(KHAKI), BLK(BLACK)",X,,74330850,236500000,신한,신한) SU107JE15Z,,기도
신인철,안세진,8UPNX27102,[WM] 남녀공용 스톰 에센셜 3L 팬츠,X,2,0,완사입,기도,베트남,1차,1월3주,O,,"KHA(KHAKI), BLK(BLACK)",X,,36809150,112000000,신한,신한) SU107JE15Z,,기도
신인철,장지은,8UJJS27105,[WM] 남녀공용 익스퍼트 어프로치 재킷,S,2,0,완사입,원전,베트남,1차,1월3주,O,,"DKH(D/KHAKI), CHA(CHARCOAL)",X,,40147059,136500000,신한,신한) DRWSP70,,원전
신인철,장지은,8UPNS27105,[WM] 남녀공용 익스퍼트 어프로치 팬츠,S,2,0,완사입,원전,베트남,1차,1월3주,O,,"DKH(D/KHAKI), CHA(CHARCOAL)",X,,31419850,101500000,신한,신한) DRWSP70,,원전
신인철,장지은,8UJJS27101,[WM] 남녀공용 익스퍼트 소프트쉘 재킷,S,1,0,완사입,원전,베트남,1차,1월3주,,,BLK(BLACK),,,0,0,,,,
신인철,장지은,8UPNS27102,[WM] 남녀공용 익스퍼트 소프트쉘 팬츠,S,2,0,완사입,원전,베트남,1차,1월3주,,,"DBE(DARK BEIGE), BLK(BLACK)",,,0,0,,,,
신인철,안세진,8UTBS27101,[WM] 남녀공용 익스퍼트 와플 후드티,S,3,0,완사입,주연,베트남,1차,1월3주,O,,"DLM, BLK(BLACK), KHA(KHAKI)",X,,18491120,58460000,주연,주연) JY25,,IKG
