MD,StyleCode,품명,시즌코드,수주미진행,성별,라인,K/M/D,테마,예상소매가,예상출고일(주차),출고차순,작지등록,진행구분,생산처,원단처,원산지,출처블록
정영준,TLVAM27501,하절 남성 방풍 베스트,M,수주 미진행,남성,EVERYDAY,M,,"158,000",,,,,,,,B
이재헌,JWTBM27121,남성 솔솔 MossDry 베이직 긴팔 집업 티셔츠,M,,남성,HIKING,K,Hiking M1,"118,000",2월4주,,,,,,,B
이재헌,JWTBM27125,남성 우븐 하프집업 티셔츠 (타공 디테일),M,,남성,HIKING,D,Hiking M1,"168,000",2월4주,,,,,,,A
이재헌,JWTBM27127,남성 솔솔 MossDry 베이직 긴팔 집업 티셔츠,M,,남성,HIKING,K,Hiking M1,"118,000",2월4주,,,,,,,A
김준래,TLSXM27521,,M,,,,,Structural Hybrid,,2월4주,2,,,,,,seq
이재헌,JWJJM27141,남성 소프트쉘 재킷 (SET UP),M,,남성,HIKING,D,Hiking M1,"270,000",3월1주,,,,,,,A
이재헌,JWJJM27171,남성 제노아 경량 인후드 방풍 재킷,M,수주 미진행,남성,HIKING,K,Hiking m1,"198,000",3월1주,,,,,,,A
정영준,TLJJM27501,하절 남성 경량 재킷,M,수주 미진행,남성,EVERYDAY,D,EV Summer 1,"220,000",3월1주,,,,,,,A
정영준,TLJJM27511,하절 남성 윈드포레스트 패커블 방풍 재킷,M,수주 미진행,남성,EVERYDAY,M,유통특화,"220,000",3월1주,,,,,,,A
박술홍,TLJJM27701,,M,,,,,Trail Running,,3월1주,1,,,,,,seq
박술홍,TLJJM27703,,M,,,,,Trail Running,,3월1주,2,,,,,,seq
정영준,TVPNM27502,하절 여성 베이직 크롭 세미 와이드 팬츠,M,수주 미진행,여성,EVERYDAY,K,EV Summer 1,"178,000",3월1주,,,,,,,A
정영준,TVPNM27522,하절 여성 카고조거 팬츠,M,수주 미진행,여성,EVERYDAY,M,EV Summer 1,"188,000",3월1주,,,,,,,A
정영준,TVPNM27532,하절 여성 와이드 팬츠,M,,여성,EVERYDAY,M,EV Summer 2,"198,000",3월1주,,,,,,,A
정영준,TVPNM27904,유통특화_하절 여성 쿨맥스 레귤러핏 데님 팬츠,M,수주 미진행,여성,EVERYDAY,D,유통특화,"178,000",3월1주,,,,,,,A
이재헌,JWJJM27151,남성 윈드케이 경량 방풍 재킷,M,,남성,HIKING,K,Hiking M1,"178,000",3월2주,,,,,,,A
이재헌,JWJJM27155,남성 고강력사 방풍 재킷,M,,남성,HIKING,M,Hiking M1,"290,000",3월2주,,,,,,,A
