No	스타일	스타일명	구분	영업 In	원단도착 마지노선 (봉제90일/60일)	원단출고일(소재확인)	원단도착(해상)	원단도착(AIR)	확보 봉제시간(해상)	확보 봉제시간(AIR)	표준 봉제 90일 기준	단축 봉제 60일 기준	판정	요청/조치	생산처	생산담당
1	JKJJS27022	히어로 여성 스톰플리스 프로 LIGHT 소프트쉘 재킷	봄	01/08(트래커)	09/26 / 10/26	12/14	12/29	12/17	-4일	8일	82일 부족	52일 부족	◼ 불가 — 봉제시간 부족	AIR로 당겨도 봉제 8일뿐 — 60일 단축 기준으로도 52일 부족, 입점 03/01(60일 봉제)~03/31(표준) 이후로 조정 협의 요청	원전	김동철
2	JKPNS27062	히어로 여성 스톰플리스 프로 LIGHT 소프트쉘 팬츠	봄	01/08(트래커)	09/26 / 10/26	12/14	12/29	12/17	-4일	8일	82일 부족	52일 부족	◼ 불가 — 봉제시간 부족	AIR로 당겨도 봉제 8일뿐 — 60일 단축 기준으로도 52일 부족, 입점 03/01(60일 봉제)~03/31(표준) 이후로 조정 협의 요청	거림	황상아
3	JKPNS27072	히어로 여성 클라이밍 팬츠	봄	01/08(트래커)	09/26 / 10/26	11/30	12/15	12/03	10일	22일	68일 부족	38일 부족	◼ 불가 — 봉제시간 부족	AIR로 당겨도 봉제 22일뿐 — 60일 단축 기준으로도 38일 부족, 입점 02/15(60일 봉제)~03/17(표준) 이후로 조정 협의 요청	거림	황상아
4	JWJJS27021	히어로 남성 스톰플리스 프로 LIGHT 소프트쉘 재킷	봄	01/08(트래커)	09/26 / 10/26	12/14	12/29	12/17	-4일	8일	82일 부족	52일 부족	◼ 불가 — 봉제시간 부족	AIR로 당겨도 봉제 8일뿐 — 60일 단축 기준으로도 52일 부족, 입점 03/01(60일 봉제)~03/31(표준) 이후로 조정 협의 요청	원전	김동철
5	JWPNS27061	히어로 남성 스톰플리스 프로 LIGHT 소프트쉘 팬츠	봄	01/08(트래커)	09/26 / 10/26	12/14	12/29	12/17	-4일	8일	82일 부족	52일 부족	◼ 불가 — 봉제시간 부족	AIR로 당겨도 봉제 8일뿐 — 60일 단축 기준으로도 52일 부족, 입점 03/01(60일 봉제)~03/31(표준) 이후로 조정 협의 요청	거림	황상아
6	JWPNS27071	히어로 남성 클라이밍 팬츠	봄	01/08(트래커)	09/26 / 10/26	11/30	12/15	12/03	10일	22일	68일 부족	38일 부족	◼ 불가 — 봉제시간 부족	AIR로 당겨도 봉제 22일뿐 — 60일 단축 기준으로도 38일 부족, 입점 02/15(60일 봉제)~03/17(표준) 이후로 조정 협의 요청	거림	황상아
7	JKTCS27056	히어로 여성 메리노울 반팔 라운드티	봄	01/22(트래커)	10/10 / 11/09	11/30	12/15	12/03	24일	36일	54일 부족	24일 부족	◼ 불가 — 봉제시간 부족	AIR로 당겨도 봉제 36일뿐 — 60일 단축 기준으로도 24일 부족, 입점 02/15(60일 봉제)~03/17(표준) 이후로 조정 협의 요청	장안	이상엽
8	JWTCS27055	히어로 남성 메리노울 반팔 라운드티	봄	01/22(트래커)	10/10 / 11/09	11/30	12/15	12/03	24일	36일	54일 부족	24일 부족	◼ 불가 — 봉제시간 부족	AIR로 당겨도 봉제 36일뿐 — 60일 단축 기준으로도 24일 부족, 입점 02/15(60일 봉제)~03/17(표준) 이후로 조정 협의 요청	장안	이상엽
9	JKVAS27132	춘절 여성 OCTA 인슐레이션 베스트	봄	01월1주	09/19 / 10/19	12/12	12/27	12/15	-9일	3일	87일 부족	57일 부족	◼ 불가 — 봉제시간 부족	AIR로 당겨도 봉제 3일뿐 — 60일 단축 기준으로도 57일 부족, 입점 02/27(60일 봉제)~03/29(표준) 이후로 조정 협의 요청	원전	정병우
10	JKTBS27112	춘절 여성 하이브리드 긴팔 집업 티셔츠	봄	01월1주	09/19 / 10/19	10/30	11/14	11/02	34일	46일	44일 부족	14일 부족	◼ 불가 — 봉제시간 부족	AIR로 당겨도 봉제 46일뿐 — 60일 단축 기준으로도 14일 부족, 입점 01/15(60일 봉제)~02/14(표준) 이후로 조정 협의 요청	IKG	박성실
