No	스타일	스타일명	구분	영업 In	원단출고일(소재확인)	원단도착(해상)	매장출고 가능(해상)	매장출고 가능(AIR)	판정	요청/조치	생산처	원단처	생산담당
1	JKVAS27132	춘절 여성 OCTA 인슐레이션 베스트	봄	01월1주	12/12	12/27	04/10	03/29	◼ 불가 — 일정 조정 필요	입점 주차 조정 협의 요청 — AIR 기준 03/29 이후 출고 가능 (지연 87일)	원전	SPM	정병우
2	JKTBS27112	춘절 여성 하이브리드 긴팔 집업 티셔츠	봄	01월1주	10/30	11/14	02/26	02/14	◼ 불가 — 일정 조정 필요	입점 주차 조정 협의 요청 — AIR 기준 02/14 이후 출고 가능 (지연 44일)	IKG	SPM	박성실
3	JKJJS27022	히어로 여성 스톰플리스 프로 LIGHT 소프트쉘 재킷	봄	01/08(트래커)	12/14	12/29	04/12	03/31	◼ 불가 — 일정 조정 필요	입점 주차 조정 협의 요청 — AIR 기준 03/31 이후 출고 가능 (지연 82일)	원전	글로벌B&G	김동철
4	JKPNS27062	히어로 여성 스톰플리스 프로 LIGHT 소프트쉘 팬츠	봄	01/08(트래커)	12/14	12/29	04/12	03/31	◼ 불가 — 일정 조정 필요	입점 주차 조정 협의 요청 — AIR 기준 03/31 이후 출고 가능 (지연 82일)	거림	글로벌B&G	황상아
5	JKPNS27072	히어로 여성 클라이밍 팬츠	봄	01/08(트래커)	11/30	12/15	03/29	03/17	◼ 불가 — 일정 조정 필요	입점 주차 조정 협의 요청 — AIR 기준 03/17 이후 출고 가능 (지연 68일)	거림	IBQ	황상아
6	JWJJS27021	히어로 남성 스톰플리스 프로 LIGHT 소프트쉘 재킷	봄	01/08(트래커)	12/14	12/29	04/12	03/31	◼ 불가 — 일정 조정 필요	입점 주차 조정 협의 요청 — AIR 기준 03/31 이후 출고 가능 (지연 82일)	원전	글로벌B&G	김동철
7	JWPNS27061	히어로 남성 스톰플리스 프로 LIGHT 소프트쉘 팬츠	봄	01/08(트래커)	12/14	12/29	04/12	03/31	◼ 불가 — 일정 조정 필요	입점 주차 조정 협의 요청 — AIR 기준 03/31 이후 출고 가능 (지연 82일)	거림	글로벌B&G	황상아
8	JWPNS27071	히어로 남성 클라이밍 팬츠	봄	01/08(트래커)	11/30	12/15	03/29	03/17	◼ 불가 — 일정 조정 필요	입점 주차 조정 협의 요청 — AIR 기준 03/17 이후 출고 가능 (지연 68일)	거림	IBQ	황상아
9	JKJJS27132	춘절 여성 OCTA 인슐레이션 재킷	봄	01월2주	12/12	12/27	04/10	03/29	◼ 불가 — 일정 조정 필요	입점 주차 조정 협의 요청 — AIR 기준 03/29 이후 출고 가능 (지연 80일)	원전	SPM	정병우
10	JWJJS27131	남성 OCTA 인슐레이션 재킷	봄	01월2주	12/12	12/27	04/10	03/29	◼ 불가 — 일정 조정 필요	입점 주차 조정 협의 요청 — AIR 기준 03/29 이후 출고 가능 (지연 80일)	원전	SPM	정병우
11	JWVAS27131	남성 OCTA 인슐레이션 베스트	봄	01월2주	12/12	12/27	04/10	03/29	◼ 불가 — 일정 조정 필요	입점 주차 조정 협의 요청 — AIR 기준 03/29 이후 출고 가능 (지연 80일)	원전	SPM	정병우
12	TVJJS27552	춘절 여성 키퍼 중기장 벨티드 재킷	봄	01/15(트래커)	10/10	10/25	02/06	01/25	◼ 불가 — 일정 조정 필요	입점 주차 조정 협의 요청 — AIR 기준 01/25 이후 출고 가능 (지연 10일)	아이블	타키효	황문영
13	TVJJS27562	춘절 여성 키퍼 넥리스 재킷	봄	01/15(트래커)	10/10	10/25	02/06	01/25	◼ 불가 — 일정 조정 필요	입점 주차 조정 협의 요청 — AIR 기준 01/25 이후 출고 가능 (지연 10일)	아이블	타키효	황문영
14	TVJJS27512	춘절 여성 중기장 방풍 재킷	봄	01월4주	10/30	11/14	02/26	02/14	◼ 불가 — 일정 조정 필요	입점 주차 조정 협의 요청 — AIR 기준 02/14 이후 출고 가능 (지연 23일)	아이블	플레이트	황문영
15	JKJJS27032	히어로 여성 옥타 플리스 재킷	봄	01/22(트래커)	10/30	11/14	02/26	02/14	◼ 불가 — 일정 조정 필요	입점 주차 조정 협의 요청 — AIR 기준 02/14 이후 출고 가능 (지연 23일)	태화	SPM	이상엽
16	JKTCS27056	히어로 여성 메리노울 반팔 라운드티	봄	01/22(트래커)	11/30	12/15	03/29	03/17	◼ 불가 — 일정 조정 필요	입점 주차 조정 협의 요청 — AIR 기준 03/17 이후 출고 가능 (지연 54일)	장안	IBQ	이상엽
17	JWJJS27031	히어로 남성 옥타 플리스 재킷	봄	01/22(트래커)	10/30	11/14	02/26	02/14	◼ 불가 — 일정 조정 필요	입점 주차 조정 협의 요청 — AIR 기준 02/14 이후 출고 가능 (지연 23일)	태화	SPM	김동철
18	JWTBS27117	남성 퀵드라이 바라클라바 긴팔 후드 티셔츠	봄	01월4주	10/30	11/14	02/26	02/14	◼ 불가 — 일정 조정 필요	입점 주차 조정 협의 요청 — AIR 기준 02/14 이후 출고 가능 (지연 23일)	IKG	SPM	박성실
19	JWTCS27055	히어로 남성 메리노울 반팔 라운드티	봄	01/22(트래커)	11/30	12/15	03/29	03/17	◼ 불가 — 일정 조정 필요	입점 주차 조정 협의 요청 — AIR 기준 03/17 이후 출고 가능 (지연 54일)	장안	IBQ	이상엽
20	JWJJS27135	남성 WIGO 방풍 재킷 (SET UP)	봄	02월2주	10/31	11/15	02/27	02/15	◼ 불가 — 일정 조정 필요	입점 주차 조정 협의 요청 — AIR 기준 02/15 이후 출고 가능 (지연 7일)	원전	신한	정병우
21	JWTBS27111	남성 하이브리드 긴팔 집업 티셔츠	봄	02월3주	10/31	11/15	02/27	02/15	▲ AIR 전환 시 가능	AIR 전환 진행 시 일정 유지 가능 (해상은 12일 지연)	IKG	SPM / BK	박성실
22	JKTBS27116	춘절 여성 후드 티셔츠	봄	02월3주	10/30	11/14	02/26	02/14	▲ AIR 전환 시 가능	AIR 전환 진행 시 일정 유지 가능 (해상은 11일 지연)	IKG	SPM	박성실
23	TVJJS27502	춘절 여성 논퀼팅 인슐레이션 재킷	봄	02월4주	10/30	11/14	02/26	02/14	▲ AIR 전환 시 가능	AIR 전환 진행 시 일정 유지 가능 (해상은 4일 지연)	아이블	BROLIN	황문영
24	TLTBS27511	남성 베이직 폴로 긴팔 티셔츠	봄	01/08(트래커)					● 원단 출고일 미협의 — 즉시 확인	원단 출고일 미협의 — 소재팀 확인 중, 확정 즉시 회신	TESSELLATION	TESSLLATION	정병우
25	8NLAS27101	[WM] 남녀공용 프린트 양말	봄·BLUE(피싱)	01월2주					● 원단 출고일 미협의 — 즉시 확인	원단 출고일 미협의 — 소재팀 확인 중, 확정 즉시 회신	건우		박성실
26	8NRES27104	[WM] 남녀공용 쉐이드 캠프 캡	봄·BLUE(피싱)	01월2주					● 원단 출고일 미협의 — 즉시 확인	원단 출고일 미협의 — 소재팀 확인 중, 확정 즉시 회신	피앤지		박성실
27	TVTBS27592	춘절 여성 니트 폴로 긴팔 티셔츠	봄	01월3주					● 원단 출고일 미협의 — 즉시 확인	원단 출고일 미협의 — 소재팀 확인 중, 확정 즉시 회신	어필코리아		이상엽
28	8NRFS27101	[WM] 남녀공용 그리드 매쉬 햇	봄·BLUE(피싱)	01월5주					● 원단 출고일 미협의 — 즉시 확인	원단 출고일 미협의 — 소재팀 확인 중, 확정 즉시 회신	피앤지		박성실
29	8NRFS27103	[WM] 남녀공용 쉐이드 버킷 햇	봄·BLUE(피싱)	01월5주					● 원단 출고일 미협의 — 즉시 확인	원단 출고일 미협의 — 소재팀 확인 중, 확정 즉시 회신	피앤지		박성실
30	8UJJS27101	[WM] 남녀공용 익스퍼트 소프트쉘 재킷	봄·BLUE(피싱)	01월5주					● 원단 출고일 미협의 — 즉시 확인	원단 출고일 미협의 — 소재팀 확인 중, 확정 즉시 회신	원전		미지정
31	TVPNS27902	유통특화_사계절 여성 세미 부츠컷 데님 팬츠	봄	02/01(트래커)					● 원단 출고일 미협의 — 즉시 확인	원단 출고일 미협의 — 소재팀 확인 중, 확정 즉시 회신	스코브		황상아
32	8NHAS27101	[WM] 남녀공용 3지 익스퍼트 장갑	봄·BLUE(피싱)	02월1주					● 원단 출고일 미협의 — 즉시 확인	원단 출고일 미협의 — 소재팀 확인 중, 확정 즉시 회신	시즈		박성실
